mes;descrip;Todas las edades;Menores de 15 a�os;De 15 a 29 a�os;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
20050100;Varones;209;0;22;34;15;16;13;13;18;7;20;25;13;7;6;0;
20101000;Hombres;184;0;10;27;24;17;18;14;12;10;11;16;14;8;3;0;
20101100;Hombres;156;1;11;31;14;20;12;11;11;7;4;13;10;7;3;1;
20101200;Hombres;180;0;13;33;14;24;10;16;15;9;14;11;11;6;3;1;

20110100;Hombres;196;0;9;33;31;12;18;18;12;7;15;19;12;9;1;0;
20110200;Hombres;194;0;20;34;24;20;20;6;11;14;12;18;12;2;1;0;
20110300;Hombres;231;0;18;35;30;24;25;21;15;10;7;21;18;6;1;0;
20110400;Hombres;198;0;14;29;17;25;22;16;7;12;9;16;13;12;5;1;
20110500;Hombres;210;0;15;28;26;24;16;17;11;12;13;21;19;4;4;0;
20110600;Hombres;224;0;18;36;20;18;19;12;13;10;22;19;23;13;1;0;
20110700;Hombres;199;0;18;28;24;19;18;12;16;15;13;15;11;8;2;0;
20110800;Hombres;213;0;20;33;22;19;20;18;7;16;10;18;16;11;3;0;
20110900;Hombres;198;0;15;34;15;18;20;22;15;11;8;21;9;5;4;1;
20111000;Hombres;183;0;15;33;12;17;15;11;14;10;7;17;16;11;4;1;
20111100;Hombres;192;0;18;32;19;18;21;15;11;13;12;16;12;4;1;0;
20111200;Hombres;197;1;23;28;28;15;20;12;14;9;10;15;11;7;4;0;

20120100;Hombres;232;0;30;35;22;14;26;20;16;7;13;17;17;10;4;1;
20120200;Hombres;211;1;28;26;24;22;21;20;14;10;9;16;10;5;4;1;
20120300;Hombres;240;1;17;36;25;24;22;26;18;12;10;17;19;10;2;1;
20120400;Hombres;214;0;18;40;17;30;17;19;14;8;8;12;15;14;2;0;
20120500;Hombres;248;0;21;41;36;23;24;14;15;13;17;14;17;8;4;1;
20120600;Hombres;244;0;20;40;22;26;17;25;17;8;12;21;19;10;6;1;
20120700;Hombres;255;0;20;36;29;23;19;17;16;17;18;26;22;12;0;0;
20120800;Hombres;240;1;21;29;20;18;27;18;10;13;18;20;23;15;7;0;
20120900;Hombres;227;0;14;35;21;32;16;23;13;14;17;19;10;8;4;1;
20121000;Hombres;212;0;15;36;22;19;20;12;16;12;14;17;21;5;2;1;
20121100;Hombres;186;0;16;29;17;10;20;17;18;9;15;10;15;2;6;2;
20121200;Hombres;215;1;19;42;19;28;18;17;12;10;4;24;13;5;2;1;

20130100;Hombres;250;0;15;31;20;32;29;20;20;19;23;13;16;10;2;0;
20130200;Hombres;224;0;20;27;30;25;23;13;19;13;12;8;20;13;1;0;
20130300;Hombres;266;0;18;36;27;35;28;23;26;14;15;22;12;9;0;1;
20130400;Hombres;247;1;20;40;22;28;35;26;16;15;12;15;12;4;1;0;
20130500;Hombres;243;0;16;34;24;32;25;22;13;20;17;10;18;9;2;1;
20130600;Hombres;280;1;26;34;24;25;34;19;21;15;16;25;19;14;6;1;
20130700;Hombres;273;0;20;37;32;32;29;16;22;21;12;17;23;5;7;0;
20130800;Hombres;222;2;13;35;20;22;29;18;11;13;13;16;17;9;4;0;
20130900;Hombres;274;1;27;39;26;29;26;21;23;15;22;13;18;11;2;1;
20131000;Hombres;229;0;17;32;17;14;38;22;11;17;14;18;15;10;4;0;
20131100;Hombres;188;1;12;23;22;23;19;17;10;11;10;16;15;7;2;0;
20131200;Hombres;215;0;21;27;21;22;25;20;13;14;16;8;18;5;4;1;

20140100;Hombres;279;1;29;35;23;28;30;23;23;17;14;16;22;10;6;2;
20140200;Hombres;227;0;18;34;23;26;24;25;10;15;6;14;18;11;3;0;
20140300;Hombres;226;0;18;26;21;30;30;23;12;11;8;18;13;13;3;0;
20140400;Hombres;241;0;15;30;22;22;27;12;16;23;24;10;18;15;6;1;
20140500;Hombres;254;1;20;33;24;32;24;23;17;16;13;17;14;14;5;1;
20140600;Hombres;291;0;27;41;34;37;34;23;15;22;13;17;12;13;3;0;
20140700;Hombres;263;1;22;23;21;24;41;25;19;13;19;23;13;12;7;0;
20140800;Hombres;261;0;23;34;27;32;33;20;16;14;13;14;13;17;4;1;
20140900;Hombres;247;0;22;31;25;31;31;9;17;10;14;18;23;12;4;0;
20141000;Hombres;236;1;11;29;24;30;26;16;21;15;15;20;12;10;4;2;
20141100;Hombres;218;0;17;27;29;23;22;18;13;11;10;16;15;15;2;0;
20141200;Hombres;195;0;17;32;20;22;22;19;11;8;9;11;11;10;3;0;

20150100;Hombres;204;2;13;20;20;19;18;24;13;13;16;10;24;5;5;2;
20150200;Hombres;197;0;25;15;14;25;17;16;12;12;12;14;14;13;6;2;
20150300;Hombres;264;0;24;44;25;24;26;30;10;17;11;10;26;12;5;0;
20150400;Hombres;217;1;18;25;21;24;21;18;13;14;14;22;13;11;2;0;
20150500;Hombres;248;2;22;27;21;20;30;27;15;22;13;13;11;16;8;1;
20150600;Hombres;249;0;17;41;25;31;23;19;9;18;12;18;22;7;7;0;
20150700;Hombres;272;0;22;27;34;27;25;24;17;16;11;23;22;17;6;1;
20150800;Hombres;236;0;11;37;20;15;34;18;20;13;18;13;20;13;3;1;
20150900;Hombres;218;0;23;25;23;29;20;23;20;7;5;16;14;12;1;0;
20151000;Hombres;189;1;17;21;26;17;23;14;14;10;10;12;13;6;3;2;
20151100;Hombres;179;0;17;22;11;19;19;17;12;12;9;13;15;11;2;0;
20151200;Hombres;207;1;9;28;19;26;23;21;21;12;12;14;11;8;2;0;

20160100;Hombres;221;0;17;29;22;23;23;19;15;15;12;13;15;11;6;1;
20160200;Hombres;225;0;14;23;22;27;20;23;19;17;15;22;10;7;5;1;
20160300;Hombres;212;2;19;28;22;22;26;16;17;16;13;11;12;5;2;1;
20160400;Hombres;226;0;12;34;27;20;31;14;20;15;9;11;21;6;6;0;
20160500;Hombres;253;1;14;30;28;20;35;20;19;21;12;19;17;11;4;2;
20160600;Hombres;253;1;18;33;33;24;25;24;19;17;17;17;14;9;2;0;
20160700;Hombres;222;1;15;26;19;27;19;22;12;15;9;26;23;3;5;0;
20160800;Hombres;229;0;12;31;23;14;25;23;20;12;18;15;18;12;4;2;
20160900;Hombres;230;0;18;34;16;20;22;26;23;16;8;17;9;10;9;2;
20161000;Hombres;196;1;14;21;22;15;30;18;7;9;16;14;13;9;6;1;
20161100;Hombres;190;1;12;26;23;25;20;19;9;9;9;3;17;12;5;0;
20161200;Hombres;205;1;15;31;18;29;12;18;11;13;16;10;12;11;6;2;

20170100;Hombres;198;0;15;23;14;16;25;22;19;12;14;7;13;8;9;1;
20170200;Hombres;215;2;21;17;23;21;22;26;13;16;10;10;19;13;0;2;
20170300;Hombres;228;0;13;32;20;25;33;14;15;14;15;12;22;10;1;2;
20170400;Hombres;212;0;12;24;25;36;18;12;12;7;16;17;20;10;3;0;
20170500;Hombres;235;1;15;31;16;33;36;18;15;14;11;14;16;9;4;2;
20170600;Hombres;249;0;16;30;25;29;35;14;14;14;14;11;25;11;10;1;
20170700;Hombres;265;0;22;38;28;23;25;22;18;15;14;14;18;19;8;1;
20170800;Hombres;268;1;19;31;29;22;24;32;16;14;17;21;17;17;7;1;
20170900;Hombres;217;0;18;26;18;21;32;27;12;12;9;10;16;11;5;0;
20171000;Hombres;259;1;20;39;21;26;18;28;15;18;19;14;19;16;4;1;
20171100;Hombres;196;0;11;36;14;24;16;20;12;12;18;6;13;11;2;1;
20171200;Hombres;176;1;22;27;13;15;21;19;9;14;9;9;6;8;3;0;
