mes;descrip;Todas las edades;Menores de 15 a�os;De 15 a 29 a�os;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
20050100;Mujeres;76;0;10;13;3;6;6;9;2;6;9;5;4;3;0;0;
20080500;Mujeres;55;1;8;9;3;2;8;4;2;5;2;5;5;1;0;0;
20080600;Mujeres;68;0;6;7;6;4;7;4;5;6;8;5;2;6;2;0;
20080700;Mujeres;72;0;4;9;6;6;6;3;10;6;7;6;6;2;1;0;
20080800;Mujeres;65;0;7;7;12;2;2;7;6;2;8;7;5;0;0;0;
20080900;Mujeres;69;0;7;9;3;7;6;8;3;6;5;5;6;2;1;1;
20081000;Mujeres;70;0;8;11;5;6;4;6;7;9;4;5;2;3;0;0;
20081100;Mujeres;67;0;7;7;12;7;5;6;3;5;3;5;2;5;0;0;
20081200;Mujeres;65;0;6;8;8;3;7;6;4;4;6;7;4;1;1;0;

20090100;Mujeres;57;1;5;7;9;4;6;2;5;3;2;7;3;3;0;0;
20090200;Mujeres;62;0;3;11;5;7;4;9;4;2;5;3;8;0;1;0;
20090300;Mujeres;63;0;8;10;6;7;5;2;7;7;6;1;3;1;0;0;
20090400;Mujeres;48;0;3;7;1;4;4;6;7;3;1;3;7;2;0;0;
20090500;Mujeres;65;0;5;11;3;7;7;4;7;5;5;4;5;2;0;0;
20090600;Mujeres;74;0;7;13;14;4;1;6;5;7;4;3;5;3;2;0;
20090700;Mujeres;65;0;4;13;7;7;2;2;4;5;2;7;10;1;1;0;
20090800;Mujeres;65;0;5;8;6;8;5;4;2;4;12;7;1;2;1;0;
20090900;Mujeres;70;0;9;8;7;7;3;6;6;7;2;9;2;4;0;0;
20091000;Mujeres;71;0;5;12;6;6;5;5;5;10;4;5;5;1;1;1;
20091100;Mujeres;71;0;4;10;8;11;3;6;6;4;2;8;3;5;0;1;
20091200;Mujeres;52;0;8;9;4;4;4;5;3;5;2;3;2;3;0;0;

20100100;Mujeres;47;0;1;7;3;4;5;8;2;7;2;6;1;1;0;0;
20100200;Mujeres;57;0;0;6;5;12;3;3;7;5;2;6;1;6;1;0;
20100300;Mujeres;58;0;7;8;9;5;9;7;5;1;3;3;0;1;0;0;
20100400;Mujeres;64;0;5;6;9;6;6;5;4;6;6;6;3;1;1;0;
20100500;Mujeres;54;0;6;7;3;3;9;3;3;4;2;5;4;3;2;0;
20100600;Mujeres;55;0;2;3;5;6;7;7;4;6;7;3;2;2;0;1;
20100700;Mujeres;73;0;5;13;8;12;4;5;7;2;6;6;2;2;1;0;
20100800;Mujeres;56;0;6;12;7;4;2;4;3;5;2;4;3;1;1;2;
20100900;Mujeres;66;0;6;11;7;6;3;4;9;2;5;7;3;3;0;0;
20101000;Mujeres;56;0;2;6;8;5;5;4;4;5;5;1;5;3;3;0;
20101100;Mujeres;46;0;1;11;8;4;5;2;2;2;4;1;4;2;0;0;
20101200;Mujeres;58;0;2;7;11;5;10;4;3;7;2;4;1;2;0;0;

20110100;Mujeres;60;0;1;7;5;6;5;3;4;7;5;8;4;2;1;2;
20110200;Mujeres;49;0;4;6;8;5;8;3;4;1;4;1;2;2;0;1;
20110300;Mujeres;65;0;4;10;6;6;5;7;4;8;5;2;5;3;0;0;
20110400;Mujeres;70;0;4;8;7;7;10;6;5;8;7;3;1;4;0;0;
20110500;Mujeres;67;0;6;13;8;5;6;3;3;4;10;2;3;3;1;0;
20110600;Mujeres;61;0;5;10;7;6;6;3;4;7;5;3;3;0;1;1;
20110700;Mujeres;64;0;2;8;3;9;5;5;9;2;10;3;4;2;1;1;
20110800;Mujeres;56;1;1;10;3;10;4;7;4;2;4;4;3;1;2;0;
20110900;Mujeres;65;0;0;13;3;4;9;7;3;8;5;3;4;4;1;1;
20111000;Mujeres;76;0;9;7;12;3;10;7;6;6;4;1;5;3;2;1;
20111100;Mujeres;50;0;3;11;2;4;5;3;0;2;3;7;6;4;0;0;
20111200;Mujeres;62;0;2;10;11;6;8;3;2;4;4;5;4;3;0;0;

20120100;Mujeres;53;0;4;6;7;3;6;4;4;4;5;3;4;1;1;1;
20120200;Mujeres;54;0;8;14;4;2;7;3;4;2;3;2;3;2;0;0;
20120300;Mujeres;69;0;4;15;9;6;6;6;0;2;7;7;4;3;0;0;
20120400;Mujeres;77;1;5;10;12;7;5;4;3;5;11;5;5;3;1;0;
20120500;Mujeres;76;0;5;14;7;10;9;2;5;4;7;6;7;0;0;0;
20120600;Mujeres;66;0;10;9;7;2;6;7;3;8;2;5;3;3;1;0;
20120700;Mujeres;83;0;8;12;8;8;8;9;6;8;1;7;2;5;1;0;
20120800;Mujeres;72;0;6;6;5;9;14;4;8;7;4;3;3;3;0;0;
20120900;Mujeres;70;0;1;12;9;4;6;5;5;9;5;5;6;2;0;1;
20121000;Mujeres;55;0;3;6;9;5;9;4;3;3;3;2;2;5;1;0;
20121100;Mujeres;64;0;6;8;4;6;6;3;4;6;8;5;5;3;0;0;
20121200;Mujeres;76;0;6;11;9;9;9;9;6;2;3;5;3;4;0;0;

20130100;Mujeres;94;2;8;14;10;9;7;9;7;7;5;10;4;2;0;0;
20130200;Mujeres;65;0;11;7;8;4;7;3;7;6;4;6;1;1;0;0;
20130300;Mujeres;93;0;5;13;8;10;10;7;6;6;9;4;9;3;2;1;
20130400;Mujeres;77;1;7;6;9;8;7;6;10;5;5;6;3;3;1;0;
20130500;Mujeres;92;0;3;9;12;9;13;9;6;9;7;7;5;2;1;0;
20130600;Mujeres;83;0;5;11;7;6;8;12;7;5;6;6;5;4;0;1;
20130700;Mujeres;84;0;6;9;8;9;10;10;7;4;5;5;4;3;2;2;
20130800;Mujeres;86;0;6;17;7;7;10;6;6;8;4;6;7;2;0;0;
20130900;Mujeres;71;0;4;12;10;7;9;6;3;5;3;8;2;1;1;0;
20131000;Mujeres;72;0;10;8;4;11;8;3;3;2;8;4;4;5;1;1;
20131100;Mujeres;71;0;7;7;4;8;12;6;1;6;6;5;5;4;0;0;
20131200;Mujeres;71;0;4;10;7;5;9;10;2;7;3;6;5;1;2;0;

20140100;Mujeres;60;1;3;10;1;6;8;4;2;8;2;7;6;2;0;0;
20140200;Mujeres;66;0;6;13;5;8;4;9;1;11;3;0;4;2;0;0;
20140300;Mujeres;92;1;14;13;8;10;9;7;7;6;5;5;2;3;2;0;
20140400;Mujeres;97;3;15;10;5;11;3;8;16;4;3;7;4;4;4;0;
20140500;Mujeres;77;0;5;13;9;6;12;4;0;7;6;7;5;3;0;0;
20140600;Mujeres;80;1;1;13;9;5;4;4;11;10;5;7;4;5;1;0;
20140700;Mujeres;79;0;3;7;13;17;8;4;7;6;3;4;3;2;2;0;
20140800;Mujeres;93;0;5;9;5;15;16;8;7;5;8;4;5;4;1;1;
20140900;Mujeres;87;0;9;10;9;9;11;8;4;7;5;2;6;5;2;0;
20141000;Mujeres;96;0;7;8;13;16;7;8;7;8;11;1;2;3;5;0;
20141100;Mujeres;65;0;6;10;8;9;3;6;11;4;3;0;3;2;0;0;
20141200;Mujeres;80;0;6;13;8;8;9;7;5;5;3;8;4;2;2;0;

20150100;Mujeres;72;0;3;9;6;7;10;8;3;5;5;6;5;3;2;0;
20150200;Mujeres;73;0;3;11;5;5;7;12;2;5;3;11;4;3;1;1;
20150300;Mujeres;103;0;6;13;9;14;4;15;9;7;11;5;5;4;1;0;
20150400;Mujeres;70;0;5;5;9;13;8;7;5;5;6;2;4;0;0;1;
20150500;Mujeres;83;0;5;10;8;13;4;8;10;7;5;5;2;5;1;0;
20150600;Mujeres;59;0;4;8;7;6;4;4;7;2;6;4;3;2;2;0;
20150700;Mujeres;87;0;9;4;5;13;7;7;8;9;4;7;6;3;5;0;
20150800;Mujeres;76;1;5;9;9;14;6;2;8;4;4;6;4;2;1;1;
20150900;Mujeres;77;0;12;11;5;9;10;4;5;2;3;7;7;2;0;0;
20151000;Mujeres;85;0;12;6;13;6;12;5;8;3;3;7;6;2;1;1;
20151100;Mujeres;56;0;6;5;8;6;8;1;3;6;5;6;1;1;0;0;
20151200;Mujeres;81;0;8;4;12;5;13;8;7;7;8;3;3;3;0;0;

20160100;Mujeres;80;1;8;12;11;5;6;9;5;9;1;6;4;3;0;0;
20160200;Mujeres;58;1;2;7;6;5;10;5;5;4;4;2;3;3;1;0;
20160300;Mujeres;77;0;5;6;5;15;6;6;6;9;5;7;4;0;3;0;
20160400;Mujeres;66;0;1;14;9;4;5;1;9;6;3;8;1;4;1;0;
20160500;Mujeres;67;0;6;6;7;5;6;5;6;8;6;3;5;1;2;1;
20160600;Mujeres;75;0;5;9;5;5;11;9;3;6;7;6;3;4;2;0;
20160700;Mujeres;89;2;8;10;6;8;4;9;10;8;5;5;4;5;2;3;
20160800;Mujeres;92;0;8;10;5;8;13;7;6;9;8;4;9;3;2;0;
20160900;Mujeres;81;0;4;13;5;5;6;11;5;8;6;6;8;2;2;0;
20161000;Mujeres;73;0;8;5;8;9;6;10;7;7;5;2;3;2;1;0;
20161100;Mujeres;61;0;5;10;5;6;4;4;9;5;1;3;3;5;1;0;
20161200;Mujeres;88;0;7;8;8;8;12;5;8;9;7;6;3;5;2;0;

20170100;Mujeres;81;1;9;11;8;6;8;10;3;6;5;5;4;4;1;0;
20170200;Mujeres;82;0;5;7;14;6;6;12;5;4;6;6;6;5;0;0;
20170300;Mujeres;82;3;5;9;6;5;12;10;10;7;2;6;3;2;2;0;
20170400;Mujeres;88;1;5;10;13;3;9;8;8;6;8;6;6;5;0;0;
20170500;Mujeres;84;0;5;8;8;7;8;13;10;5;6;4;8;2;0;0;
20170600;Mujeres;79;1;7;9;4;6;5;9;9;7;7;5;7;3;0;0;
20170700;Mujeres;83;0;7;6;5;7;6;10;11;4;13;6;5;2;1;0;
20170800;Mujeres;69;0;5;9;3;7;12;3;8;4;6;2;3;7;0;0;
20170900;Mujeres;90;1;8;11;9;10;14;8;3;6;7;3;5;3;1;1;
20171000;Mujeres;87;0;7;6;8;8;15;11;2;10;10;5;2;3;0;0;
20171100;Mujeres;71;0;4;8;12;5;10;6;6;7;3;5;4;0;1;0;
20171200;Mujeres;65;0;2;4;8;6;11;8;6;2;6;6;2;1;2;1;
