month_code;descrip;todas_edades;menores_15;de_15_a_29;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
2014-05-01;Ambos sexos;331;1;25;46;33;38;36;27;17;23;19;24;19;17;5;1;
2014-06-01;Ambos sexos;371;1;28;54;43;42;38;27;26;32;18;24;16;18;4;0;
2014-07-01;Ambos sexos;342;1;25;30;34;41;49;29;26;19;22;27;16;14;9;0;
2014-08-01;Ambos sexos;354;0;28;43;32;47;49;28;23;19;21;18;18;21;5;2;
2014-09-01;Ambos sexos;334;0;31;41;34;40;42;17;21;17;19;20;29;17;6;0;
2014-10-01;Ambos sexos;332;1;18;37;37;46;33;24;28;23;26;21;14;13;9;2;
2014-11-01;Ambos sexos;283;0;23;37;37;32;25;24;24;15;13;16;18;17;2;0;
2014-12-01;Ambos sexos;275;0;23;45;28;30;31;26;16;13;12;19;15;12;5;0;
2015-01-01;Ambos sexos;276;2;16;29;26;26;28;32;16;18;21;16;29;8;7;2;
2015-02-01;Ambos sexos;270;0;28;26;19;30;24;28;14;17;15;25;18;16;7;3;
2015-03-01;Ambos sexos;367;0;30;57;34;38;30;45;19;24;22;15;31;16;6;0;
2015-04-01;Ambos sexos;287;1;23;30;30;37;29;25;18;19;20;24;17;11;2;1;
2015-05-01;Ambos sexos;331;2;27;37;29;33;34;35;25;29;18;18;13;21;9;1;
2015-06-01;Ambos sexos;308;0;21;49;32;37;27;23;16;20;18;22;25;9;9;0;
2015-07-01;Ambos sexos;359;0;31;31;39;40;32;31;25;25;15;30;28;20;11;1;
2015-08-01;Ambos sexos;312;1;16;46;29;29;40;20;28;17;22;19;24;15;4;2;
2015-09-01;Ambos sexos;295;0;35;36;28;38;30;27;25;9;8;23;21;14;1;0;
2015-10-01;Ambos sexos;274;1;29;27;39;23;35;19;22;13;13;19;19;8;4;3;
2015-11-01;Ambos sexos;235;0;23;27;19;25;27;18;15;18;14;19;16;12;2;0;
2015-12-01;Ambos sexos;288;1;17;32;31;31;36;29;28;19;20;17;14;11;2;0;
2016-01-01;Ambos sexos;301;1;25;41;33;28;29;28;20;24;13;19;19;14;6;1;
2016-02-01;Ambos sexos;283;1;16;30;28;32;30;28;24;21;19;24;13;10;6;1;
2016-03-01;Ambos sexos;289;2;24;34;27;37;32;22;23;25;18;18;16;5;5;1;
2016-04-01;Ambos sexos;292;0;13;48;36;24;36;15;29;21;12;19;22;10;7;0;
2016-05-01;Ambos sexos;320;1;20;36;35;25;41;25;25;29;18;22;22;12;6;3;
2016-06-01;Ambos sexos;328;1;23;42;38;29;36;33;22;23;24;23;17;13;4;0;
2016-07-01;Ambos sexos;311;3;23;36;25;35;23;31;22;23;14;31;27;8;7;3;
2016-08-01;Ambos sexos;321;0;20;41;28;22;38;30;26;21;26;19;27;15;6;2;
2016-09-01;Ambos sexos;311;0;22;47;21;25;28;37;28;24;14;23;17;12;11;2;
2016-10-01;Ambos sexos;269;1;22;26;30;24;36;28;14;16;21;16;16;11;7;1;
2016-11-01;Ambos sexos;251;1;17;36;28;31;24;23;18;14;10;6;20;17;6;0;
2016-12-01;Ambos sexos;293;1;22;39;26;37;24;23;19;22;23;16;15;16;8;2;
2017-01-01;Ambos sexos;279;1;24;34;22;22;33;32;22;18;19;12;17;12;10;1;
2017-02-01;Ambos sexos;297;2;26;24;37;27;28;38;18;20;16;16;25;18;0;2;
2017-03-01;Ambos sexos;310;3;18;41;26;30;45;24;25;21;17;18;25;12;3;2;
2017-04-01;Ambos sexos;300;1;17;34;38;39;27;20;20;13;24;23;26;15;3;0;
2017-05-01;Ambos sexos;319;1;20;39;24;40;44;31;25;19;17;18;24;11;4;2;
2017-06-01;Ambos sexos;328;1;23;39;29;35;40;23;23;21;21;16;32;14;10;1;
2017-07-01;Ambos sexos;348;0;29;44;33;30;31;32;29;19;27;20;23;21;9;1;
2017-08-01;Ambos sexos;337;1;24;40;32;29;36;35;24;18;23;23;20;24;7;1;
2017-09-01;Ambos sexos;307;1;26;37;27;31;46;35;15;18;16;13;21;14;6;1;
2017-10-01;Ambos sexos;346;1;27;45;29;34;33;39;17;28;29;19;21;19;4;1;
2017-11-01;Ambos sexos;267;0;15;44;26;29;26;26;18;19;21;11;17;11;3;1;
2017-12-01;Ambos sexos;241;1;24;31;21;21;32;27;15;16;15;15;8;9;5;1;
